id,code,nom,type,libelle_type,marque,modele,secteur_id,secteur_nom,region,latitude,longitude,date_install,statut
1,EQ-02-0001,BTS_2G_RABAT-SALÉ_001,BTS_2G,Station de base 2G,Huawei,RRU3908,2,Rabat-Salé,Rabat-Salé-Kénitra,34.129707,-6.956514,2025-03-06,ACTIF
2,EQ-09-0002,BTS_3G_KENITRA_002,BTS_3G,Station de base 3G,Huawei,AAU5614,9,Kenitra,Rabat-Salé-Kénitra,34.301762,-6.791109,2025-06-08,ACTIF
3,EQ-10-0003,BTS_2G_TÉTOUAN_003,BTS_2G,Station de base 2G,Huawei,BBU5900,10,Tétouan,Tanger-Tétouan-Al Hoceima,35.606088,-5.271094,2022-01-10,ACTIF
4,EQ-10-0004,ROUTEUR_TÉTOUAN_004,ROUTEUR,Routeur backbone,Huawei,ATN910C,10,Tétouan,Tanger-Tétouan-Al Hoceima,35.717883,-5.590698,2025-01-24,ACTIF
5,EQ-03-0005,BTS_5G_MARRAKECH_005,BTS_5G,Station de base 5G NR,Huawei,BBU5900,3,Marrakech,Marrakech-Safi,31.835452,-8.054706,2025-06-10,ACTIF
6,EQ-06-0006,ROUTEUR_AGADIR_006,ROUTEUR,Routeur backbone,Huawei,NE40E-X8,6,Agadir,Souss-Massa,30.566146,-9.494617,2022-12-14,HORS_SERVICE
7,EQ-07-0007,BTS_3G_MEKNÈS_007,BTS_3G,Station de base 3G,Huawei,BBU5900,7,Meknès,Fès-Meknès,33.916942,-5.40632,2022-06-29,ACTIF
8,EQ-02-0008,BTS_2G_RABAT-SALÉ_008,BTS_2G,Station de base 2G,Huawei,RRU3908,2,Rabat-Salé,Rabat-Salé-Kénitra,34.093541,-6.718596,2025-07-06,MAINTENANCE
9,EQ-07-0009,ROUTEUR_MEKNÈS_009,ROUTEUR,Routeur backbone,Huawei,ATN910C,7,Meknès,Fès-Meknès,33.872514,-5.4042,2025-01-17,ACTIF
10,EQ-05-0010,BTS_3G_TANGER_010,BTS_3G,Station de base 3G,Huawei,AAU5614,5,Tanger,Tanger-Tétouan-Al Hoceima,35.808658,-5.982136,2021-11-14,ACTIF
11,EQ-07-0011,ROUTEUR_MEKNÈS_011,ROUTEUR,Routeur backbone,Huawei,NE40E-X8,7,Meknès,Fès-Meknès,34.114006,-5.491637,2022-11-02,ACTIF
12,EQ-01-0012,BTS_5G_GRAND_CASABLANCA_012,BTS_5G,Station de base 5G NR,Huawei,BBU5900,1,Grand Casablanca,Casablanca-Settat,33.718056,-7.452392,2023-09-17,ACTIF
13,EQ-10-0013,SWITCH_TÉTOUAN_013,SWITCH,Switch distribution,Huawei,NE40E-X8,10,Tétouan,Tanger-Tétouan-Al Hoceima,35.449052,-5.368746,2022-05-10,ACTIF
14,EQ-03-0014,BTS_5G_MARRAKECH_014,BTS_5G,Station de base 5G NR,Huawei,BBU5900,3,Marrakech,Marrakech-Safi,31.739855,-7.963543,2021-10-09,MAINTENANCE
15,EQ-07-0015,SWITCH_MEKNÈS_015,SWITCH,Switch distribution,Huawei,NE40E-X8,7,Meknès,Fès-Meknès,33.767068,-5.330584,2023-02-07,ACTIF
16,EQ-01-0016,BTS_3G_GRAND_CASABLANCA_016,BTS_3G,Station de base 3G,Huawei,BBU5900,1,Grand Casablanca,Casablanca-Settat,33.416722,-7.742961,2022-02-22,ACTIF
17,EQ-07-0017,OLT_MEKNÈS_017,OLT,Optical Line Terminal,Huawei,BBU5900,7,Meknès,Fès-Meknès,33.936693,-5.569092,2024-07-20,ACTIF
18,EQ-02-0018,ROUTEUR_RABAT-SALÉ_018,ROUTEUR,Routeur backbone,Huawei,ATN910C,2,Rabat-Salé,Rabat-Salé-Kénitra,34.14189,-6.913593,2024-04-24,ACTIF
19,EQ-01-0019,ROUTEUR_GRAND_CASABLANCA_019,ROUTEUR,Routeur backbone,Huawei,NE40E-X8,1,Grand Casablanca,Casablanca-Settat,33.785662,-7.471799,2023-02-11,MAINTENANCE
20,EQ-05-0020,BTS_5G_TANGER_020,BTS_5G,Station de base 5G NR,Huawei,AAU5614,5,Tanger,Tanger-Tétouan-Al Hoceima,35.603121,-5.715752,2022-12-08,ACTIF
21,EQ-08-0021,BTS_2G_OUJDA_021,BTS_2G,Station de base 2G,Huawei,RRU3908,8,Oujda,Oriental,34.511866,-1.97312,2024-03-27,ACTIF
22,EQ-10-0022,BTS_3G_TÉTOUAN_022,BTS_3G,Station de base 3G,Huawei,AAU5614,10,Tétouan,Tanger-Tétouan-Al Hoceima,35.391857,-5.374711,2025-07-28,ACTIF
23,EQ-08-0023,BTS_4G_OUJDA_023,BTS_4G,Station de base 4G LTE,Huawei,AAU5614,8,Oujda,Oriental,34.58087,-1.743637,2023-08-03,MAINTENANCE
24,EQ-04-0024,ROUTEUR_FÈS_024,ROUTEUR,Routeur backbone,Huawei,ATN910C,4,Fès,Fès-Meknès,33.972601,-4.930464,2023-11-13,MAINTENANCE
25,EQ-08-0025,BTS_3G_OUJDA_025,BTS_3G,Station de base 3G,Huawei,AAU5614,8,Oujda,Oriental,34.573144,-2.107785,2025-11-03,ACTIF
26,EQ-01-0026,BTS_3G_GRAND_CASABLANCA_026,BTS_3G,Station de base 3G,Huawei,AAU5614,1,Grand Casablanca,Casablanca-Settat,33.666722,-7.788506,2025-07-31,MAINTENANCE
27,EQ-02-0027,BTS_5G_RABAT-SALÉ_027,BTS_5G,Station de base 5G NR,Huawei,AAU5614,2,Rabat-Salé,Rabat-Salé-Kénitra,33.921115,-6.84817,2022-12-08,ACTIF
28,EQ-10-0028,ANTENNE_TÉTOUAN_028,ANTENNE,Antenne sectorielle,Huawei,RRU3908,10,Tétouan,Tanger-Tétouan-Al Hoceima,35.462733,-5.380574,2023-09-05,ACTIF
29,EQ-07-0029,SWITCH_MEKNÈS_029,SWITCH,Switch distribution,Huawei,ATN910C,7,Meknès,Fès-Meknès,33.859076,-5.569554,2021-11-14,ACTIF
30,EQ-02-0030,BTS_2G_RABAT-SALÉ_030,BTS_2G,Station de base 2G,Huawei,RRU3908,2,Rabat-Salé,Rabat-Salé-Kénitra,33.977036,-6.913986,2025-05-07,ACTIF
31,EQ-09-0031,ANTENNE_KENITRA_031,ANTENNE,Antenne sectorielle,Huawei,RRU3908,9,Kenitra,Rabat-Salé-Kénitra,34.09892,-6.722773,2023-05-14,MAINTENANCE
32,EQ-02-0032,ANTENNE_RABAT-SALÉ_032,ANTENNE,Antenne sectorielle,Huawei,RRU3908,2,Rabat-Salé,Rabat-Salé-Kénitra,34.159649,-6.681255,2025-05-30,ACTIF
33,EQ-09-0033,BTS_2G_KENITRA_033,BTS_2G,Station de base 2G,Huawei,RRU3908,9,Kenitra,Rabat-Salé-Kénitra,34.47226,-6.388143,2024-08-19,ACTIF
34,EQ-08-0034,BTS_5G_OUJDA_034,BTS_5G,Station de base 5G NR,Huawei,BBU5900,8,Oujda,Oriental,34.850957,-1.730119,2025-01-13,ACTIF
35,EQ-07-0035,ROUTEUR_MEKNÈS_035,ROUTEUR,Routeur backbone,Huawei,ATN910C,7,Meknès,Fès-Meknès,34.085625,-5.426263,2024-05-11,ACTIF
36,EQ-09-0036,ANTENNE_KENITRA_036,ANTENNE,Antenne sectorielle,Huawei,RRU3908,9,Kenitra,Rabat-Salé-Kénitra,34.105503,-6.671773,2025-08-19,ACTIF
37,EQ-01-0037,BTS_2G_GRAND_CASABLANCA_037,BTS_2G,Station de base 2G,Huawei,RRU3908,1,Grand Casablanca,Casablanca-Settat,33.611018,-7.588516,2022-12-25,ACTIF
38,EQ-09-0038,BTS_3G_KENITRA_038,BTS_3G,Station de base 3G,Huawei,AAU5614,9,Kenitra,Rabat-Salé-Kénitra,34.419262,-6.77456,2025-07-30,ACTIF
39,EQ-10-0039,BTS_5G_TÉTOUAN_039,BTS_5G,Station de base 5G NR,Huawei,BBU5900,10,Tétouan,Tanger-Tétouan-Al Hoceima,35.614049,-5.575724,2025-07-02,ACTIF
40,EQ-10-0040,SWITCH_TÉTOUAN_040,SWITCH,Switch distribution,Huawei,NE40E-X8,10,Tétouan,Tanger-Tétouan-Al Hoceima,35.774314,-5.501617,2021-12-11,ACTIF
41,EQ-07-0041,BTS_4G_MEKNÈS_041,BTS_4G,Station de base 4G LTE,Huawei,AAU5614,7,Meknès,Fès-Meknès,33.970838,-5.644791,2024-03-09,ACTIF
42,EQ-10-0042,BTS_3G_TÉTOUAN_042,BTS_3G,Station de base 3G,Huawei,AAU5614,10,Tétouan,Tanger-Tétouan-Al Hoceima,35.386275,-5.49761,2024-06-21,HORS_SERVICE
43,EQ-02-0043,BTS_5G_RABAT-SALÉ_043,BTS_5G,Station de base 5G NR,Huawei,BBU5900,2,Rabat-Salé,Rabat-Salé-Kénitra,33.962128,-6.995768,2022-11-30,ACTIF
44,EQ-09-0044,BTS_2G_KENITRA_044,BTS_2G,Station de base 2G,Huawei,RRU3908,9,Kenitra,Rabat-Salé-Kénitra,34.336614,-6.555604,2022-03-29,HORS_SERVICE
45,EQ-03-0045,ROUTEUR_MARRAKECH_045,ROUTEUR,Routeur backbone,Huawei,NE40E-X8,3,Marrakech,Marrakech-Safi,31.45627,-8.158111,2022-11-09,ACTIF
46,EQ-10-0046,BTS_5G_TÉTOUAN_046,BTS_5G,Station de base 5G NR,Huawei,BBU5900,10,Tétouan,Tanger-Tétouan-Al Hoceima,35.676524,-5.501915,2022-05-28,ACTIF
47,EQ-05-0047,BTS_2G_TANGER_047,BTS_2G,Station de base 2G,Huawei,RRU3908,5,Tanger,Tanger-Tétouan-Al Hoceima,35.575851,-5.868425,2024-05-29,ACTIF
48,EQ-03-0048,ROUTEUR_MARRAKECH_048,ROUTEUR,Routeur backbone,Huawei,ATN910C,3,Marrakech,Marrakech-Safi,31.477059,-8.0073,2022-01-01,ACTIF
49,EQ-02-0049,BTS_3G_RABAT-SALÉ_049,BTS_3G,Station de base 3G,Huawei,AAU5614,2,Rabat-Salé,Rabat-Salé-Kénitra,34.221373,-6.755555,2025-02-14,MAINTENANCE
50,EQ-10-0050,BTS_4G_TÉTOUAN_050,BTS_4G,Station de base 4G LTE,Huawei,AAU5614,10,Tétouan,Tanger-Tétouan-Al Hoceima,35.546872,-5.574783,2023-12-01,MAINTENANCE
51,EQ-04-0051,BTS_5G_FÈS_051,BTS_5G,Station de base 5G NR,Huawei,BBU5900,4,Fès,Fès-Meknès,34.093295,-5.073711,2022-10-27,HORS_SERVICE
52,EQ-03-0052,BTS_5G_MARRAKECH_052,BTS_5G,Station de base 5G NR,Huawei,BBU5900,3,Marrakech,Marrakech-Safi,31.793737,-7.766593,2024-12-19,ACTIF
53,EQ-06-0053,OLT_AGADIR_053,OLT,Optical Line Terminal,Huawei,NE40E-X8,6,Agadir,Souss-Massa,30.563942,-9.434107,2024-07-26,ACTIF
54,EQ-02-0054,OLT_RABAT-SALÉ_054,OLT,Optical Line Terminal,Huawei,BBU5900,2,Rabat-Salé,Rabat-Salé-Kénitra,34.188543,-6.680072,2024-09-17,MAINTENANCE
